dbn,school_name,school_type,enrollment,survey_pp_ri,survey_pp_ct,survey_pp_se,survey_pp_es,survey_pp_sf,survey_pp_tr,qr_1_1,qr_1_2,qr_2_2,qr_3_4,qr_4_2,qr_1_4,qr_1_3,qr_3_1,qr_4_1,qr_5_1,dates_of_review,rating_ela_grade_8_pct_rs,rating_mth_grade_8_pct_rs,gender_female_pct,gender_male_pct,ell,iep,cap_sc_pct,borough,year,total_enrollment,grade_3k,grade_pk_half_day_full_day,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,female,female_1,male,male_1,asian,asian_1,black,black_1,hispanic,hispanic_1,multi_racial,multi_racial_1,native_american,native_american_1,white,white_1,missing_race_ethnicity_data,missing_race_ethnicity_data_1,students_with_disabilities,students_with_disabilities_1,english_language_learners,english_language_learners_1,poverty,poverty_1,economic_need_index
02M280,Manhattan Early College School for Advertising,High School,445,,,,,,,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,2018-10-01T00:00:00.000,2.95,2.76,0.524,0.476,0.047,0.157,0.002,Manhattan,2018-19,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,104.0,95.0,97.0,222.0,0.534,194.0,0.466,41.0,0.099,150.0,0.361,187.0,0.45,0.0,0.0,6.0,0.014,22.0,0.053,10.0,0.024,76.0,0.183,16.0,0.038,306.0,0.736,0.728
02M282,Urban Assembly Maker Academy,High School,435,0.77,0.89,0.76,0.94,0.89,0.93,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2016-11-01T00:00:00.000,2.94,2.74,0.326,0.674,0.051,0.202,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M288,Food and Finance High School,High School,379,0.77,0.73,0.66,0.61,0.75,0.69,Proficient,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,2017-05-01T00:00:00.000,2.83,2.63,0.594,0.406,0.037,0.214,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M294,Essex Street Academy,High School,338,,,,1.0,0.97,0.99,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2019-11-01T00:00:00.000,3.0,2.72,0.577,0.423,0.033,0.257,0.0,Manhattan,2019-20,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,86.0,97.0,68.0,195.0,0.577,143.0,0.423,24.0,0.071,104.0,0.308,146.0,0.432,4.0,0.012,3.0,0.009,47.0,0.139,10.0,0.03,87.0,0.257,11.0,0.033,225.0,0.6659999999999999,0.68
02M296,High School of Hospitality Management,High School,337,,,,0.95,0.8,0.96,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Developing,Developing,Developing,2019-02-01T00:00:00.000,2.64,2.35,0.632,0.368,0.077,0.258,0.006,Manhattan,2018-19,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,131.0,53.0,78.0,252.0,0.663,128.0,0.337,19.0,0.05,105.0,0.276,236.0,0.621,1.0,0.003,3.0,0.008,7.0,0.018,9.0,0.024,99.0,0.261,35.0,0.092,344.0,0.905,0.872
02M298,Pace High School,High School,549,,,,0.86,0.8,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,2018-10-01T00:00:00.000,2.96,2.76,0.552,0.448,0.031,0.184,0.016,Manhattan,2018-19,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,137.0,159.0,121.0,324.0,0.566,248.0,0.434,26.0,0.045,191.0,0.334,310.0,0.542,1.0,0.002,0.0,0.0,22.0,0.038,22.0,0.038,105.0,0.184,17.0,0.03,454.0,0.794,0.7509999999999999
02M300,"Urban Assembly School of Design and Construction,",High School,263,0.82,0.76,0.75,0.86,0.8,0.9,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,2019-04-01T00:00:00.000,2.62,2.55,0.342,0.658,0.076,0.289,0.004,Manhattan,2018-19,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,72.0,80.0,81.0,90.0,0.298,212.0,0.702,17.0,0.056,69.0,0.228,205.0,0.679,1.0,0.003,2.0,0.007,8.0,0.026,0.0,0.0,78.0,0.258,35.0,0.116,246.0,0.815,0.868
02M303,"Facing History School, The",High School,350,0.78,0.91,0.84,0.94,0.93,0.98,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Proficient,2019-11-01T00:00:00.000,2.65,2.38,0.477,0.523,0.094,0.246,0.0,Manhattan,2019-20,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,84.0,62.0,95.0,167.0,0.477,183.0,0.523,1.0,0.003,91.0,0.26,240.0,0.686,3.0,0.009,3.0,0.009,9.0,0.026,3.0,0.009,88.0,0.251,35.0,0.1,292.0,0.8340000000000001,0.873
02M305,"Urban Assembly Academy of Government and Law, The",High School,322,0.75,0.85,0.64,0.88,0.85,0.86,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,2017-01-01T00:00:00.000,2.89,2.6,0.559,0.441,0.034,0.227,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M308,Lower Manhattan Arts Academy,High School,314,0.6,0.48,0.51,0.54,0.72,0.71,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2018-03-01T00:00:00.000,2.7,2.28,0.653,0.347,0.054,0.347,0.013,Manhattan,2017-18,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,86.0,71.0,68.0,234.0,0.711,95.0,0.289,27.0,0.082,91.0,0.277,183.0,0.556,0.0,0.0,4.0,0.012,9.0,0.027,15.0,0.046,117.0,0.356,21.0,0.064,249.0,0.757,0.821
02M316,"Urban Assembly School of Business for Young Women,",High School,178,,,,,,,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,2017-01-01T00:00:00.000,2.87,2.53,1.0,0.0,0.09,0.146,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M374,Gramercy Arts High School,High School,449,0.74,0.68,0.63,0.74,0.8,0.84,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2017-01-01T00:00:00.000,3.06,2.74,0.682,0.318,0.018,0.18,0.007,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M376,NYC iSchool,High School,465,0.84,0.89,0.85,0.93,0.88,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2016-02-05T00:00:00.000,3.69,3.71,0.574,0.426,0.011,0.194,0.006,Manhattan,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M392,Manhattan Business Academy,High School,406,,,,,,,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-03-03T00:00:00.000,2.86,2.62,0.446,0.554,0.062,0.197,0.005,Manhattan,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M393,Business Of Sports School,High School,428,0.65,0.88,0.66,0.93,0.89,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2017-10-01T00:00:00.000,2.59,2.33,0.322,0.678,0.068,0.262,0.0,Manhattan,2017-18,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,122.0,90.0,84.0,178.0,0.418,248.0,0.582,6.0,0.014,143.0,0.336,261.0,0.613,0.0,0.0,2.0,0.005,10.0,0.023,4.0,0.009,110.0,0.258,36.0,0.085,317.0,0.7440000000000001,0.805
02M399,The High School For Language And Diplomacy,High School,274,0.65,0.54,0.6,0.44,0.65,0.61,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2018-05-01T00:00:00.000,2.81,2.63,0.518,0.482,0.102,0.186,0.011,Manhattan,2017-18,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,92.0,68.0,119.0,176.0,0.538,151.0,0.462,102.0,0.312,65.0,0.199,137.0,0.419,0.0,0.0,2.0,0.006,15.0,0.046,6.0,0.018,57.0,0.174,46.0,0.141,259.0,0.792,0.8290000000000001
02M400,High School for Environmental Studies,High School,1133,0.8,0.82,0.73,0.78,0.84,0.86,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2018-01-01T00:00:00.000,2.99,2.93,0.516,0.484,0.066,0.177,0.017,Manhattan,2017-18,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,296.0,285.0,314.0,608.0,0.509,586.0,0.491,145.0,0.121,196.0,0.164,756.0,0.633,0.0,0.0,9.0,0.008,79.0,0.066,9.0,0.008,219.0,0.183,101.0,0.085,980.0,0.821,0.797
02M407,Institute for Collaborative Education,High School,278,,,,0.97,0.95,0.96,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2020-01-01T00:00:00.000,2.71,2.78,0.453,0.547,0.0,0.212,0.0,Manhattan,2019-20,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,68.0,76.0,68.0,71.0,71.0,68.0,242.0,0.495,247.0,0.505,29.0,0.059,113.0,0.231,103.0,0.211,23.0,0.047,1.0,0.002,215.0,0.44,5.0,0.01,96.0,0.196,0.0,0.0,160.0,0.327,0.368
02M408,Professional Performing Arts High School,High School,460,0.78,0.96,0.78,0.94,0.88,0.92,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2018-03-01T00:00:00.000,3.47,3.41,0.737,0.263,0.002,0.163,0.0,Manhattan,2017-18,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,31.0,33.0,94.0,124.0,99.0,126.0,423.0,0.749,142.0,0.251,37.0,0.065,120.0,0.212,121.0,0.214,29.0,0.051,2.0,0.004,241.0,0.427,15.0,0.027,84.0,0.149,1.0,0.002,214.0,0.379,0.389
02M411,Baruch College Campus High School,High School,487,0.72,0.9,0.78,1.0,0.87,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,2017-11-01T00:00:00.000,3.73,3.9,0.606,0.394,0.008,0.148,0.0,Manhattan,2017-18,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,110.0,110.0,116.0,269.0,0.585,191.0,0.415,180.0,0.391,21.0,0.046,61.0,0.133,11.0,0.024,2.0,0.004,179.0,0.389,6.0,0.013,69.0,0.15,2.0,0.004,196.0,0.426,0.39899999999999997
02M412,N.Y.C. Lab School for Collaborative Studies,High School,514,0.86,0.89,0.83,0.95,0.93,0.95,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-01-07T00:00:00.000,3.73,3.88,0.477,0.523,0.004,0.195,0.0,Manhattan,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M413,School of the Future High School,High School,434,0.78,0.88,0.76,0.86,0.89,0.86,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2019-02-01T00:00:00.000,3.31,3.31,0.498,0.502,0.0,0.212,0.002,Manhattan,2018-19,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,97.0,105.0,117.0,107.0,110.0,111.0,365.0,0.487,384.0,0.513,150.0,0.2,84.0,0.112,181.0,0.242,71.0,0.095,3.0,0.004,260.0,0.347,0.0,0.0,162.0,0.216,5.0,0.007,329.0,0.439,0.41600000000000004
02M414,N.Y.C. Museum School,High School,454,0.76,0.63,0.77,0.57,0.81,0.73,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2016-12-01T00:00:00.000,3.6,3.65,0.515,0.485,0.002,0.211,0.004,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M416,Eleanor Roosevelt High School,High School,541,0.87,0.86,0.87,0.89,0.87,0.9,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2017-04-01T00:00:00.000,4.0,4.18,0.59,0.41,0.0,0.155,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M418,Millennium High School,High School,674,0.84,0.86,0.83,0.85,0.76,0.88,Proficient,Developing,Developing,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2017-03-01T00:00:00.000,3.79,3.97,0.577,0.423,0.001,0.135,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M419,Landmark High School,High School,335,,,,,,,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,2017-12-01T00:00:00.000,2.68,2.36,0.543,0.457,0.057,0.215,0.0,Manhattan,2017-18,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,94.0,100.0,73.0,189.0,0.543,159.0,0.457,11.0,0.032,116.0,0.333,206.0,0.592,1.0,0.003,4.0,0.011,9.0,0.026,1.0,0.003,81.0,0.233,23.0,0.066,309.0,0.888,0.856
02M420,High School for Health Professions and Human Servi,High School,1822,0.79,0.82,0.74,0.8,0.8,0.85,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2019-04-01T00:00:00.000,3.18,3.22,0.72,0.28,0.041,0.128,0.003,Manhattan,2018-19,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,484.0,461.0,371.0,1293.0,0.708,532.0,0.292,395.0,0.216,287.0,0.157,962.0,0.527,5.0,0.003,18.0,0.01,141.0,0.077,17.0,0.009,237.0,0.13,76.0,0.042,,0.748,0.755
02M422,Quest to Learn,High School,383,0.94,0.94,0.93,0.91,0.92,0.91,Proficient,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,2017-03-01T00:00:00.000,2.86,2.62,0.384,0.616,0.031,0.277,0.005,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M425,Leadership and Public Service High School,High School,361,0.7,0.93,0.8,0.9,0.81,0.92,Developing,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,2017-01-01T00:00:00.000,2.85,2.62,0.562,0.438,0.039,0.219,0.003,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M427,Manhattan Academy For Arts & Language,High School,210,0.97,1.0,1.0,1.0,1.0,1.0,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,2020-03-01T00:00:00.000,1.99,1.97,0.495,0.505,0.6,0.095,0.01,Manhattan,2019-20,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,50.0,46.0,44.0,104.0,0.495,106.0,0.505,2.0,0.01,3.0,0.014,200.0,0.952,0.0,0.0,0.0,0.0,5.0,0.024,0.0,0.0,21.0,0.1,137.0,0.652,,,
02M432,Murray Hill Academy,High School,263,0.86,0.92,0.84,0.87,0.9,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2018-02-01T00:00:00.000,2.7,2.45,0.494,0.506,0.019,0.259,0.004,Manhattan,2017-18,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,114.0,58.0,40.0,161.0,0.508,156.0,0.492,24.0,0.076,99.0,0.312,168.0,0.53,1.0,0.003,3.0,0.009,16.0,0.05,6.0,0.019,77.0,0.243,18.0,0.057,265.0,0.836,0.7909999999999999
02M437,Hudson High School of Learning Technologies,High School,458,0.61,0.51,0.62,0.45,0.69,0.61,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2017-11-01T00:00:00.000,2.73,2.5,0.314,0.686,0.083,0.266,0.017,Manhattan,2017-18,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,128.0,118.0,109.0,153.0,0.321,323.0,0.679,31.0,0.065,136.0,0.286,277.0,0.582,1.0,0.002,4.0,0.008,19.0,0.04,8.0,0.017,118.0,0.248,47.0,0.099,405.0,0.851,0.826
02M438,International High School at Union Square,High School,351,0.84,0.95,0.85,0.94,0.92,0.96,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2016-12-01T00:00:00.000,1.89,2.16,0.373,0.627,0.718,0.043,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M439,Manhattan Village Academy,High School,460,0.83,0.84,0.79,0.9,0.89,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2014-12-09T00:00:00.000,3.35,3.37,0.607,0.393,0.017,0.146,0.0,Manhattan,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M449,Vanguard High School,High School,424,,,,,,,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2019-03-01T00:00:00.000,2.73,2.43,0.488,0.512,0.024,0.241,0.002,Manhattan,2018-19,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,117.0,107.0,88.0,220.0,0.515,207.0,0.485,24.0,0.056,107.0,0.251,249.0,0.583,3.0,0.007,2.0,0.005,29.0,0.068,13.0,0.03,105.0,0.246,13.0,0.03,315.0,0.738,0.763
02M459,Manhattan International High School,High School,301,0.85,0.95,0.8,0.97,0.91,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,2019-11-01T00:00:00.000,1.9,2.2,0.482,0.518,0.664,0.023,0.003,Manhattan,2019-20,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,97.0,51.0,70.0,145.0,0.482,156.0,0.518,44.0,0.146,48.0,0.159,148.0,0.492,0.0,0.0,0.0,0.0,59.0,0.196,2.0,0.007,7.0,0.023,215.0,0.714,214.0,0.711,
02M475,Stuyvesant High School,High School,3381,0.84,0.84,0.84,0.9,0.86,0.91,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,2019-01-01T00:00:00.000,4.18,4.39,0.431,0.569,0.0,0.004,0.0,Manhattan,2018-19,3316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,822.0,849.0,822.0,1415.0,0.427,1901.0,0.573,2425.0,0.731,29.0,0.009,100.0,0.03,109.0,0.033,16.0,0.005,625.0,0.188,12.0,0.004,16.0,0.005,0.0,0.0,,0.44,0.39899999999999997
02M489,High School of Economics and Finance,High School,738,0.78,0.8,0.7,0.76,0.77,0.76,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,2019-05-01T00:00:00.000,2.9,2.89,0.457,0.543,0.045,0.179,0.001,Manhattan,2018-19,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,186.0,164.0,155.0,308.0,0.416,433.0,0.584,161.0,0.217,181.0,0.244,326.0,0.44,3.0,0.004,5.0,0.007,59.0,0.08,6.0,0.008,143.0,0.193,44.0,0.059,573.0,0.773,0.7759999999999999
02M500,Unity Center for Urban Technologies,High School,267,0.76,0.99,0.81,,,0.89,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,2016-12-01T00:00:00.000,2.76,2.57,0.307,0.693,0.06,0.202,0.004,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M507,Urban Assembly Gateway School for Technology,High School,453,,,,,,,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2016-05-18T00:00:00.000,2.99,2.92,0.212,0.788,0.038,0.227,0.0,Manhattan,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
